snapped_at,price,market_cap,total_volume
2018-04-06 00:00:00 UTC,6855.42230460675,116269847527.26400,2568972345.7027000
2018-04-07 00:00:00 UTC,6628.75445585626,112436767361.37200,1840465005.5711500
2018-04-08 00:00:00 UTC,6884.47723505995,116789559212.80000,1856418405.5749600
2018-04-09 00:00:00 UTC,6984.8089659738,118505840498.72900,1413593787.1878300
2018-04-10 00:00:00 UTC,6778.4915700774,115017783885.65200,2437632634.2860600
2018-04-11 00:00:00 UTC,6829.31650379539,115885988821.25400,1550558592.492430
2018-04-12 00:00:00 UTC,6925.10199547663,117533696704.9790,1586992258.3407900
2018-04-13 00:00:00 UTC,7836.39699399927,133015394395.9930,4980342880.0008100
2018-04-14 00:00:00 UTC,7845.75284010594,133189892501.28000,3910297535.1571000
2018-04-15 00:00:00 UTC,7897.71993085806,134086501771.11700,2294693915.2394800
2018-04-16 00:00:00 UTC,8258.06708369755,140220533919.44500,2350690710.8285300
2018-04-17 00:00:00 UTC,8030.99926195254,136379313438.7640,2754142166.1939600
2018-04-18 00:00:00 UTC,7873.63551010255,133722872890.26500,2491337660.023410
2018-04-19 00:00:00 UTC,8097.41823310301,137539507140.1950,2326968646.2908100
2018-04-20 00:00:00 UTC,8277.46063916253,140616565985.04100,2422027692.486590
2018-04-21 00:00:00 UTC,8499.45000871487,144401932888.96200,2961030105.150340
2018-04-22 00:00:00 UTC,8878.42826029723,150858701627.6660,3214807963.4541400
2018-04-23 00:00:00 UTC,8769.01199947348,149017082314.25300,2503340749.6093000
2018-04-24 00:00:00 UTC,8881.39170434545,150943914745.9960,2205498227.200400
2018-04-25 00:00:00 UTC,9716.48975733072,165155791737.985,4398198651.199840
2018-04-26 00:00:00 UTC,8825.2025000693,150020058558.80300,5523433548.358510
2018-04-27 00:00:00 UTC,9221.86802618436,156779014055.27100,3847600029.5565000
2018-04-28 00:00:00 UTC,8940.38112200719,152009053536.4550,2839339948.818210
2018-04-29 00:00:00 UTC,9249.65952508923,157282709009.46000,3006508147.8120900
2018-04-30 00:00:00 UTC,9325.62885104679,158592809944.5080,2827554754.4722900
2018-05-01 00:00:00 UTC,9198.18950997327,156443377473.375,2508704421.0187700
2018-05-02 00:00:00 UTC,9024.3875117766,153504488648.5950,2661071473.28962
2018-05-03 00:00:00 UTC,9122.65301383019,155192629946.18700,2179558786.4918000
